change_ordinal	event_id	statement_id	physical_page	register	state_status	surface	final_context_recipe	repeat_argument_group_count	covered_later_argument_mention_count	anaphor_occurrence_count	before_clause_de	after_clause_de	full_argument_expansion_de	guard
777	G515-E0307	G515-S031	f66r	SOURCE_SECTION_T	STATE_CARD	cholpchd	OL+P+CHD	1	1	1	Weiter: setze denselben laufenden Eintrag ein und bearbeite denselben laufenden Eintrag.	Weiter: setze denselben laufenden Eintrag ein und bearbeite ihn.	Weiter: setze denselben laufenden Eintrag ein und bearbeite denselben laufenden Eintrag.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
778	G515-E0308	G515-S031	f66r	SOURCE_SECTION_T	NONSTATE_CARD	okedals	OK+AL+S	1	1	1	Trage denselben laufenden Eintrag ein und wähle denselben laufenden Eintrag; zur Zielspalte.	Trage denselben laufenden Eintrag ein und wähle ihn; zur Zielspalte.	Trage denselben laufenden Eintrag ein und wähle denselben laufenden Eintrag; zur Zielspalte.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
779	G515-E0310	G515-S031	f66r	SOURCE_SECTION_T	NONSTATE_CARD	shekey	SH+E+K+E+Y	1	1	1	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I im äußeren Zweig und auf Grad I im inneren Zweig.	Halte den laufenden Eintrag fest und ordne ihn zu; auf Grad I im äußeren Zweig und auf Grad I im inneren Zweig.	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I im äußeren Zweig und auf Grad I im inneren Zweig.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
780	G515-E0318	G515-S034	f66r	SOURCE_SECTION_T	STATE_CARD	ykshedy	Y+K+SH+E+DY	1	1	1	Ordne den laufenden Eintrag zu und halte den laufenden Eintrag fest; auf Grad I; schließe den Schritt.	Ordne den laufenden Eintrag zu und halte ihn fest; auf Grad I; schließe den Schritt.	Ordne den laufenden Eintrag zu und halte den laufenden Eintrag fest; auf Grad I; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
781	G515-E0320	G515-S036	f66r	SOURCE_SECTION_T	NONSTATE_CARD	cthdy	CH+T+D_ADDR+Y	1	1	1	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; an der bezeichneten Stelle.	Entnimm den laufenden Eintrag und lege ihn fest; an der bezeichneten Stelle.	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
782	G515-E0321	G515-S036	f66r	SOURCE_SECTION_T	NONSTATE_CARD	qokees	OK+EE+S	1	1	1	Trage denselben laufenden Eintrag ein und wähle denselben laufenden Eintrag; auf Grad II.	Trage denselben laufenden Eintrag ein und wähle ihn; auf Grad II.	Trage denselben laufenden Eintrag ein und wähle denselben laufenden Eintrag; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
783	G515-E0323	G515-S036	f66r	SOURCE_SECTION_T	NONSTATE_CARD	okcho	OK+CH+O	1	1	1	Trage denselben laufenden Eintrag ein und entnimm denselben laufenden Eintrag; zur Ausführung.	Trage denselben laufenden Eintrag ein und entnimm ihn; zur Ausführung.	Trage denselben laufenden Eintrag ein und entnimm denselben laufenden Eintrag; zur Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
784	G515-E0325	G515-S036	f66r	SOURCE_SECTION_T	NONSTATE_CARD	chekeey	CH+K+EE+Y	1	1	1	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad II.	Entnimm den laufenden Eintrag und ordne ihn zu; auf Grad II.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
785	G515-E0327	G515-S036	f66r	SOURCE_SECTION_T	NONSTATE_CARD	chckhy	CH+K+Y	1	1	1	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu.	Entnimm den laufenden Eintrag und ordne ihn zu.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
786	G515-E0333	G515-S037	f66r	SOURCE_SECTION_T	NONSTATE_CARD	chcpheor	CH+CH+P+E+OR	1	2	2	Entnimm die Eintragseinheit, entnimm die Eintragseinheit und setze die Eintragseinheit ein; auf Grad I.	Entnimm die Eintragseinheit, entnimm sie und setze sie ein; auf Grad I.	Entnimm die Eintragseinheit, entnimm die Eintragseinheit und setze die Eintragseinheit ein; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
787	G515-E0343	G515-S038	f66r	SOURCE_SECTION_T	NONSTATE_CARD	sheky	SH+E+K+Y	1	1	1	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I.	Halte den laufenden Eintrag fest und ordne ihn zu; auf Grad I.	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
788	G515-E0348	G515-S040	f66r	SOURCE_SECTION_T	NONSTATE_CARD	choekeey	CH+O+E+K+EE+Y	1	1	1	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; zur Ausführung, auf Grad I und auf Grad II.	Entnimm den laufenden Eintrag und ordne ihn zu; zur Ausführung, auf Grad I und auf Grad II.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; zur Ausführung, auf Grad I und auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
789	G515-E0350	G515-S040	f66r	SOURCE_SECTION_T	STATE_CARD	chekeody	CH+K+E+O+DY	1	1	1	Entnimm denselben laufenden Eintrag und ordne denselben laufenden Eintrag zu; auf Grad I und als Ausführung; schließe den Schritt.	Entnimm denselben laufenden Eintrag und ordne ihn zu; auf Grad I und als Ausführung; schließe den Schritt.	Entnimm denselben laufenden Eintrag und ordne denselben laufenden Eintrag zu; auf Grad I und als Ausführung; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
790	G515-E0353	G515-S041	f66r	SOURCE_SECTION_T	NONSTATE_CARD	chctho	CH+CH+T+O	1	2	2	Entnimm denselben laufenden Eintrag, entnimm denselben laufenden Eintrag und lege denselben laufenden Eintrag fest; zur Ausführung.	Entnimm denselben laufenden Eintrag, entnimm ihn und lege ihn fest; zur Ausführung.	Entnimm denselben laufenden Eintrag, entnimm denselben laufenden Eintrag und lege denselben laufenden Eintrag fest; zur Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
791	G515-E0358	G515-S042	f66r	SOURCE_SECTION_T	NONSTATE_CARD	tocpheey	T+O+CH+P+EE+Y	1	2	2	Lege den laufenden Eintrag fest, entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; zur Ausführung und auf Grad II.	Lege den laufenden Eintrag fest, entnimm ihn und setze ihn ein; zur Ausführung und auf Grad II.	Lege den laufenden Eintrag fest, entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; zur Ausführung und auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
792	G515-E0360	G515-S042	f66r	SOURCE_SECTION_T	NONSTATE_CARD	kchody	K+CH+O+D_ADDR+Y	1	1	1	Ordne den laufenden Eintrag zu und entnimm den laufenden Eintrag; zur Ausführung; an der bezeichneten Stelle.	Ordne den laufenden Eintrag zu und entnimm ihn; zur Ausführung; an der bezeichneten Stelle.	Ordne den laufenden Eintrag zu und entnimm den laufenden Eintrag; zur Ausführung; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
793	G515-E0362	G515-S042	f66r	SOURCE_SECTION_T	NONSTATE_CARD	qokshy	OK+SH+Y	1	1	1	Trage den laufenden Eintrag ein und halte den laufenden Eintrag fest.	Trage den laufenden Eintrag ein und halte ihn fest.	Trage den laufenden Eintrag ein und halte den laufenden Eintrag fest.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
794	G515-E0364	G515-S042	f66r	SOURCE_SECTION_T	NONSTATE_CARD	dairykodas	D_ADDR+AIR+Y+K+O+DA+S	1	1	1	Ordne den laufenden Eintrag zu und wähle den laufenden Eintrag; entlang der Lesebahn; zur Ausführung und auf der zweiten Stufe; an der bezeichneten Stelle.	Ordne den laufenden Eintrag zu und wähle ihn; entlang der Lesebahn; zur Ausführung und auf der zweiten Stufe; an der bezeichneten Stelle.	Ordne den laufenden Eintrag zu und wähle den laufenden Eintrag; entlang der Lesebahn; zur Ausführung und auf der zweiten Stufe; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
795	G515-E0366	G515-S042	f66r	SOURCE_SECTION_T	STATE_CARD	dsholdaiir	D_ADDR+SH+OL+DA+IIN+R	1	1	1	Weiter: halte denselben laufenden Eintrag fest und kennzeichne denselben laufenden Eintrag; an der bezeichneten Stelle; auf der zweiten Stufe und auf der bezeichneten Stufe.	Weiter: halte denselben laufenden Eintrag fest und kennzeichne ihn; an der bezeichneten Stelle; auf der zweiten Stufe und auf der bezeichneten Stufe.	Weiter: halte denselben laufenden Eintrag fest und kennzeichne denselben laufenden Eintrag; an der bezeichneten Stelle; auf der zweiten Stufe und auf der bezeichneten Stufe.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
796	G515-E0368	G515-S042	f66r	SOURCE_SECTION_T	NONSTATE_CARD	shky	SH+K+Y	1	1	1	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu.	Halte den laufenden Eintrag fest und ordne ihn zu.	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
797	G515-E0370	G515-S042	f66r	SOURCE_SECTION_T	NONSTATE_CARD	shekair	SH+E+K+AIR	1	1	1	Halte denselben laufenden Eintrag fest und ordne denselben laufenden Eintrag zu; entlang der Lesebahn; auf Grad I.	Halte denselben laufenden Eintrag fest und ordne ihn zu; entlang der Lesebahn; auf Grad I.	Halte denselben laufenden Eintrag fest und ordne denselben laufenden Eintrag zu; entlang der Lesebahn; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
798	G515-E0377	G515-S042	f66r	SOURCE_SECTION_T	NONSTATE_CARD	cheky	CH+K+E+Y	1	1	1	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	Entnimm den laufenden Eintrag und ordne ihn zu; auf Grad I.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
799	G515-E0378	G515-S042	f66r	SOURCE_SECTION_T	NONSTATE_CARD	shcthy	SH+CH+T+Y	1	2	2	Halte den laufenden Eintrag fest, entnimm den laufenden Eintrag und lege den laufenden Eintrag fest.	Halte den laufenden Eintrag fest, entnimm ihn und lege ihn fest.	Halte den laufenden Eintrag fest, entnimm den laufenden Eintrag und lege den laufenden Eintrag fest.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
800	G515-E0389	G515-S043	f66r	SOURCE_SECTION_T	NONSTATE_CARD	qokchedy	OK+CHD+Y	1	1	1	Trage den laufenden Eintrag ein und bearbeite den laufenden Eintrag.	Trage den laufenden Eintrag ein und bearbeite ihn.	Trage den laufenden Eintrag ein und bearbeite den laufenden Eintrag.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
801	G515-E0392	G515-S043	f66r	SOURCE_SECTION_T	NONSTATE_CARD	chedaiir	CHD+IIN+R	1	1	1	Bearbeite denselben laufenden Eintrag und kennzeichne denselben laufenden Eintrag; auf der bezeichneten Stufe.	Bearbeite denselben laufenden Eintrag und kennzeichne ihn; auf der bezeichneten Stufe.	Bearbeite denselben laufenden Eintrag und kennzeichne denselben laufenden Eintrag; auf der bezeichneten Stufe.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
802	G515-E0395	G515-S044	f66r	SOURCE_SECTION_T	NONSTATE_CARD	qokchey	OK+CH+E+Y	1	1	1	Trage den laufenden Eintrag ein und entnimm den laufenden Eintrag; auf Grad I.	Trage den laufenden Eintrag ein und entnimm ihn; auf Grad I.	Trage den laufenden Eintrag ein und entnimm den laufenden Eintrag; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
803	G515-E0396	G515-S044	f66r	SOURCE_SECTION_T	NONSTATE_CARD	qokaiir	OK+IIN+R	1	1	1	Trage denselben laufenden Eintrag ein und kennzeichne denselben laufenden Eintrag; auf der bezeichneten Stufe.	Trage denselben laufenden Eintrag ein und kennzeichne ihn; auf der bezeichneten Stufe.	Trage denselben laufenden Eintrag ein und kennzeichne denselben laufenden Eintrag; auf der bezeichneten Stufe.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
804	G515-E0397	G515-S044	f66r	SOURCE_SECTION_T	NONSTATE_CARD	cheky	CH+K+E+Y	1	1	1	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	Entnimm den laufenden Eintrag und ordne ihn zu; auf Grad I.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
805	G515-E0407	G515-S046	f66r	SOURCE_SECTION_T	NONSTATE_CARD	cheeky	CH+K+EE+Y	1	1	1	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad II.	Entnimm den laufenden Eintrag und ordne ihn zu; auf Grad II.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
806	G515-E0409	G515-S046	f66r	SOURCE_SECTION_T	NONSTATE_CARD	chky	CH+K+Y	1	1	1	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu.	Entnimm den laufenden Eintrag und ordne ihn zu.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
807	G515-E0418	G515-S047	f66r	SOURCE_SECTION_T	NONSTATE_CARD	fchedyr	LOCAL_CHAR_F+CHD+Y+R	1	1	1	Bearbeite den laufenden Eintrag und kennzeichne den laufenden Eintrag; an der bezeichneten Stelle.	Bearbeite den laufenden Eintrag und kennzeichne ihn; an der bezeichneten Stelle.	Bearbeite den laufenden Eintrag und kennzeichne den laufenden Eintrag; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
808	G515-E0423	G515-S047	f66r	SOURCE_SECTION_T	NONSTATE_CARD	dalcheeeky	AL+CH+K+EEE+Y	1	1	1	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; zur Zielspalte; auf Grad III.	Entnimm den laufenden Eintrag und ordne ihn zu; zur Zielspalte; auf Grad III.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; zur Zielspalte; auf Grad III.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
809	G515-E0426	G515-S048	f66r	SOURCE_SECTION_T	NONSTATE_CARD	chekchy	CH+K+Y	1	1	1	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu.	Entnimm den laufenden Eintrag und ordne ihn zu.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
810	G515-E0428	G515-S048	f66r	SOURCE_SECTION_T	NONSTATE_CARD	ykesho	Y+K+E+SH+O	1	1	1	Ordne den laufenden Eintrag zu und halte den laufenden Eintrag fest; auf Grad I und zur Ausführung.	Ordne den laufenden Eintrag zu und halte ihn fest; auf Grad I und zur Ausführung.	Ordne den laufenden Eintrag zu und halte den laufenden Eintrag fest; auf Grad I und zur Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
811	G515-E0437	G515-S050	f66r	SOURCE_SECTION_T	NONSTATE_CARD	kcheody	K+CH+E+O+D_ADDR+Y	1	1	1	Ordne den laufenden Eintrag zu und entnimm den laufenden Eintrag; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	Ordne den laufenden Eintrag zu und entnimm ihn; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	Ordne den laufenden Eintrag zu und entnimm den laufenden Eintrag; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
812	G515-E0441	G515-S050	f66r	SOURCE_SECTION_T	NONSTATE_CARD	cheor	CH+E+O+R	1	1	1	Entnimm denselben laufenden Eintrag und kennzeichne denselben laufenden Eintrag; auf Grad I und zur Ausführung.	Entnimm denselben laufenden Eintrag und kennzeichne ihn; auf Grad I und zur Ausführung.	Entnimm denselben laufenden Eintrag und kennzeichne denselben laufenden Eintrag; auf Grad I und zur Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
813	G515-E0445	G515-S050	f66r	SOURCE_SECTION_T	STATE_CARD	shckheody	SH+CH+K+E+O+DY	1	2	2	Halte dieselbe Eintragseinheit fest und entnimm dieselbe Eintragseinheit und ordne dieselbe Eintragseinheit zu; auf Grad I und als Ausführung; schließe den Schritt.	Halte dieselbe Eintragseinheit fest und entnimm sie und ordne sie zu; auf Grad I und als Ausführung; schließe den Schritt.	Halte dieselbe Eintragseinheit fest und entnimm dieselbe Eintragseinheit und ordne dieselbe Eintragseinheit zu; auf Grad I und als Ausführung; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
814	G515-E0450	G515-S052	f66r	SOURCE_SECTION_T	NONSTATE_CARD	shes	SH+E+S	1	1	1	Halte dieselbe Eintragseinheit fest und wähle dieselbe Eintragseinheit; auf Grad I.	Halte dieselbe Eintragseinheit fest und wähle sie; auf Grad I.	Halte dieselbe Eintragseinheit fest und wähle dieselbe Eintragseinheit; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
815	G515-E0451	G515-S053	f66r	SOURCE_SECTION_T	NONSTATE_CARD	psheody	P+SH+E+O+D_ADDR+Y	1	1	1	Setze den laufenden Eintrag ein und halte den laufenden Eintrag fest; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	Setze den laufenden Eintrag ein und halte ihn fest; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	Setze den laufenden Eintrag ein und halte den laufenden Eintrag fest; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
816	G515-E0472	G515-S056	f66r	SOURCE_SECTION_T	NONSTATE_CARD	tosheo	T+O+SH+E+O	1	1	1	Lege dieselbe Eintragseinheit fest und halte dieselbe Eintragseinheit fest; zur Ausführung im äußeren Zweig, auf Grad I und zur Ausführung im inneren Zweig.	Lege dieselbe Eintragseinheit fest und halte sie fest; zur Ausführung im äußeren Zweig, auf Grad I und zur Ausführung im inneren Zweig.	Lege dieselbe Eintragseinheit fest und halte dieselbe Eintragseinheit fest; zur Ausführung im äußeren Zweig, auf Grad I und zur Ausführung im inneren Zweig.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
817	G515-E0476	G515-S056	f66r	SOURCE_SECTION_T	NONSTATE_CARD	kcheeky	K+CH+EE+K+Y	1	2	2	Ordne den laufenden Eintrag zu, entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad II.	Ordne den laufenden Eintrag zu, entnimm ihn und ordne ihn zu; auf Grad II.	Ordne den laufenden Eintrag zu, entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
818	G515-E0479	G515-S056	f66r	SOURCE_SECTION_T	NONSTATE_CARD	okees	OK+EE+S	1	1	1	Trage denselben laufenden Eintrag ein und wähle denselben laufenden Eintrag; auf Grad II.	Trage denselben laufenden Eintrag ein und wähle ihn; auf Grad II.	Trage denselben laufenden Eintrag ein und wähle denselben laufenden Eintrag; auf Grad II.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
819	G515-E0486	G515-S058	f66r	SOURCE_SECTION_T	NONSTATE_CARD	shekeefy	SH+E+K+EE+LOCAL_CHAR_F+Y	1	1	1	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I und auf Grad II; an der bezeichneten Stelle.	Halte den laufenden Eintrag fest und ordne ihn zu; auf Grad I und auf Grad II; an der bezeichneten Stelle.	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I und auf Grad II; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
820	G515-E0492	G515-S059	f66r	SOURCE_SECTION_T	NONSTATE_CARD	saiir	S+IIN+R	1	1	1	Wähle denselben laufenden Eintrag und kennzeichne denselben laufenden Eintrag; auf der bezeichneten Stufe.	Wähle denselben laufenden Eintrag und kennzeichne ihn; auf der bezeichneten Stufe.	Wähle denselben laufenden Eintrag und kennzeichne denselben laufenden Eintrag; auf der bezeichneten Stufe.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
821	G515-E0496	G515-S059	f66r	SOURCE_SECTION_T	STATE_CARD	chcthedy	CH+CH+T+E+DY	1	1	1	Entnimm denselben laufenden Eintrag zweimal und lege denselben laufenden Eintrag fest; auf Grad I; schließe den Schritt.	Entnimm denselben laufenden Eintrag zweimal und lege ihn fest; auf Grad I; schließe den Schritt.	Entnimm denselben laufenden Eintrag zweimal und lege denselben laufenden Eintrag fest; auf Grad I; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
822	G515-E0501	G515-S060	f66r	SOURCE_SECTION_T	NONSTATE_CARD	kechody	K+E+CH+O+D_ADDR+Y	1	1	1	Ordne den laufenden Eintrag zu und entnimm den laufenden Eintrag; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	Ordne den laufenden Eintrag zu und entnimm ihn; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	Ordne den laufenden Eintrag zu und entnimm den laufenden Eintrag; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
823	G515-E0502	G515-S060	f66r	SOURCE_SECTION_T	STATE_CARD	sshedy	S+SH+E+DY	1	1	1	Wähle denselben laufenden Eintrag und halte denselben laufenden Eintrag fest; auf Grad I; schließe den Schritt.	Wähle denselben laufenden Eintrag und halte ihn fest; auf Grad I; schließe den Schritt.	Wähle denselben laufenden Eintrag und halte denselben laufenden Eintrag fest; auf Grad I; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
824	G515-E0505	G515-S063	f66r	SOURCE_SECTION_T	NONSTATE_CARD	sheocthy	SH+E+O+CH+T+Y	1	2	2	Halte den laufenden Eintrag fest, entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; auf Grad I und zur Ausführung.	Halte den laufenden Eintrag fest, entnimm ihn und lege ihn fest; auf Grad I und zur Ausführung.	Halte den laufenden Eintrag fest, entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; auf Grad I und zur Ausführung.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
825	G515-E0510	G515-S064	f66r	SOURCE_SECTION_T	NONSTATE_CARD	chekey	CH+K+E+Y	1	1	1	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	Entnimm den laufenden Eintrag und ordne ihn zu; auf Grad I.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
826	G515-E0516	G515-S064	f66r	SOURCE_SECTION_T	STATE_CARD	chckhedy	CH+CH+K+E+DY	1	1	1	Entnimm denselben laufenden Eintrag zweimal und ordne denselben laufenden Eintrag zu; auf Grad I; schließe den Schritt.	Entnimm denselben laufenden Eintrag zweimal und ordne ihn zu; auf Grad I; schließe den Schritt.	Entnimm denselben laufenden Eintrag zweimal und ordne denselben laufenden Eintrag zu; auf Grad I; schließe den Schritt.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
827	G515-E0519	G515-S065	f66r	SOURCE_SECTION_T	NONSTATE_CARD	cheky	CH+K+E+Y	1	1	1	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	Entnimm den laufenden Eintrag und ordne ihn zu; auf Grad I.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad I.	WORKING_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
