component_recipe	intake_tier	tier_priority	literal_reading_de	generic_workshop_phrase_de	support_count	support_kind	registers	sample_surface	sample_existing_clause_de	intake_action	surface_rule
AL+SH	T4_NARROW_APPENDIX	4	ZIELORT · HALTEN	Halte am Zielort.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+AL	T4_NARROW_APPENDIX	4	AUSGANG · ZIELORT	Vom Ausgang und am Zielort.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+CH+EE+OR	T4_NARROW_APPENDIX	4	AUSGANG · NEHMEN · GRAD II · EINHEIT	Nimm die Einheit vom Ausgang auf Grad II.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+CHD	T4_NARROW_APPENDIX	4	AUSGANG · BEARBEITEN	Bearbeite vom Ausgang.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+CHD+DY	T4_NARROW_APPENDIX	4	AUSGANG · BEARBEITEN · SCHLUSS	Bearbeite vom Ausgang; schließe den Schritt.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+DY	T4_NARROW_APPENDIX	4	AUSGANG · SCHLUSS	Vom Ausgang; schließe den Schritt.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+K+AIN	T4_NARROW_APPENDIX	4	AUSGANG · GEBEN · ANTEIL	Gib den Anteil vom Ausgang.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+O	T4_NARROW_APPENDIX	4	AUSGANG · AUSFÜHRUNG	Vom Ausgang.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
AR+SH+E+DY	T4_NARROW_APPENDIX	4	AUSGANG · HALTEN · GRAD I · SCHLUSS	Halte vom Ausgang auf Grad I; schließe den Schritt.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CARRIER_Q+O+LOCAL_CHAR_F+CHD+AIN	T4_NARROW_APPENDIX	4	BEGINNMARKER · AUSFÜHRUNG · HIER · BEARBEITEN · ANTEIL	Beginne: bearbeite den Anteil als Ausführung mit der lokalen Variante.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CARRIER_Q+O+LOCAL_CHAR_F+CHD+OR	T4_NARROW_APPENDIX	4	BEGINNMARKER · AUSFÜHRUNG · HIER · BEARBEITEN · EINHEIT	Beginne: bearbeite die Einheit als Ausführung mit der lokalen Variante.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+CH+OK+E+Y	T4_NARROW_APPENDIX	4	NEHMEN · NEHMEN · SETZEN · GRAD I · POSTEN	Nimm den Posten; nimm den Posten; setze den Posten auf Grad I.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+E+O+CH+OK+Y	T4_NARROW_APPENDIX	4	NEHMEN · GRAD I · AUSFÜHRUNG · NEHMEN · SETZEN · POSTEN	Nimm den Posten; nimm den Posten; setze den Posten auf Grad I als Ausführung.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+EE+Y	T4_NARROW_APPENDIX	4	NEHMEN · GRAD II · POSTEN	Nimm den Posten auf Grad II.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+K+E+AIIN	T4_NARROW_APPENDIX	4	NEHMEN · GEBEN · GRAD I · WERT	Nimm den Wert; gib den Wert auf Grad I.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+K+E+AIN	T4_NARROW_APPENDIX	4	NEHMEN · GEBEN · GRAD I · ANTEIL	Nimm den Anteil; gib den Anteil auf Grad I.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+LOCAL_CHAR_F+AIN	T4_NARROW_APPENDIX	4	NEHMEN · HIER · ANTEIL	Nimm den Anteil mit der lokalen Variante.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+LOCAL_CHAR_F+OR	T4_NARROW_APPENDIX	4	NEHMEN · HIER · EINHEIT	Nimm die Einheit mit der lokalen Variante.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OK+AL	T4_NARROW_APPENDIX	4	NEHMEN · SETZEN · ZIELORT	Nimm; setze am Zielort.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OK+AR	T4_NARROW_APPENDIX	4	NEHMEN · SETZEN · AUSGANG	Nimm; setze vom Ausgang.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OK+E+Y	T4_NARROW_APPENDIX	4	NEHMEN · SETZEN · GRAD I · POSTEN	Nimm den Posten; setze den Posten auf Grad I.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OK+EE+DY	T4_NARROW_APPENDIX	4	NEHMEN · SETZEN · GRAD II · SCHLUSS	Nimm; setze auf Grad II; schließe den Schritt.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OK+O	T4_NARROW_APPENDIX	4	NEHMEN · SETZEN · AUSFÜHRUNG	Nimm; setze als Ausführung.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OK+O+Y	T4_NARROW_APPENDIX	4	NEHMEN · SETZEN · AUSFÜHRUNG · POSTEN	Nimm den Posten; setze den Posten als Ausführung.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OK+OL	T4_NARROW_APPENDIX	4	NEHMEN · SETZEN · FORTSETZEN	Weiter: Nimm; setze.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OK+OR	T4_NARROW_APPENDIX	4	NEHMEN · SETZEN · EINHEIT	Nimm die Einheit; setze die Einheit.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OK+Y	T4_NARROW_APPENDIX	4	NEHMEN · SETZEN · POSTEN	Nimm den Posten; setze den Posten.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+OT+AIIN	T4_NARROW_APPENDIX	4	NEHMEN · DANACH · WERT	Danach: Nimm den Wert.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+E+OR	T4_NARROW_APPENDIX	4	NEHMEN · EINSETZEN · GRAD I · EINHEIT	Nimm die Einheit; setze die Einheit ein auf Grad I.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+P+L	T4_NARROW_APPENDIX	4	NEHMEN · EINSETZEN · VERBINDUNG	Nimm; setze über die Verbindung ein.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+T+AIR	T4_NARROW_APPENDIX	4	NEHMEN · EINSTELLEN · BAHN	Nimm; stelle entlang der Bahn ein.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+T+L	T4_NARROW_APPENDIX	4	NEHMEN · EINSTELLEN · VERBINDUNG	Nimm; stelle über die Verbindung ein.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
CH+Y	T4_NARROW_APPENDIX	4	NEHMEN · POSTEN	Nimm den Posten.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+AIIN	T4_NARROW_APPENDIX	4	HIER · WERT	Wert hier.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+AIN	T4_NARROW_APPENDIX	4	HIER · ANTEIL	Anteil hier.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+AIN+Y	T4_NARROW_APPENDIX	4	HIER · ANTEIL · POSTEN	Anteil des Postens hier.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+AL	T4_NARROW_APPENDIX	4	HIER · ZIELORT	Am Zielort hier.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+AR+AIN	T4_NARROW_APPENDIX	4	HIER · AUSGANG · ANTEIL	Vom Ausgang: Anteil hier.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+AR+Y	T4_NARROW_APPENDIX	4	HIER · AUSGANG · POSTEN	Vom Ausgang: Posten hier.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+CH+AIR	T4_NARROW_APPENDIX	4	HIER · NEHMEN · BAHN	Nimm entlang der Bahn hier.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+CH+L	T4_NARROW_APPENDIX	4	HIER · NEHMEN · VERBINDUNG	Nimm über die Verbindung hier.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+CHD+OR	T4_NARROW_APPENDIX	4	HIER · BEARBEITEN · EINHEIT	Bearbeite die Einheit hier.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+K+AIIN	T4_NARROW_APPENDIX	4	HIER · GEBEN · WERT	Gib den Wert hier.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+K+OR	T4_NARROW_APPENDIX	4	HIER · GEBEN · EINHEIT	Gib die Einheit hier.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+L	T4_NARROW_APPENDIX	4	HIER · VERBINDUNG	Über die Verbindung hier.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+O+AIN	T4_NARROW_APPENDIX	4	HIER · AUSFÜHRUNG · ANTEIL	Führe den Anteil aus hier.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+O+OR	T4_NARROW_APPENDIX	4	HIER · AUSFÜHRUNG · EINHEIT	Führe die Einheit aus hier.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
D_ADDR+OK+Y	T4_NARROW_APPENDIX	4	HIER · SETZEN · POSTEN	Setze den Posten hier.	2	TWO_DISTINCT_OBSERVED_ONE_ROOT_NEIGHBORS	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	NONE__PROSPECTIVE_COMPONENT_RECIPE	NONE__PROSPECTIVE_COMPONENT_RECIPE	LOOKUP_ONLY__DO_NOT_AUTO_ACCEPT	DO_NOT_INVENT_SURFACE__READ_ONLY_IF_VISIBLE_RECIPE_SEGMENTS_MATCH
